UMAP_1	UMAP_2	genotype
-10.7317932656257	0.1991939465761	WT
-10.39891896753	0.297265164113026	WT
-4.29620085267705	-4.0157274086714	WT
-1.89938519506139	-2.012052782321	KO
4.18467201681453	2.7673228900194	KO
0.894127149298965	-9.17847455337049	KO
3.81923880071956	2.26417242691515	KO
0.352607269004165	-9.26392806365492	KO
-2.09816787748021	-2.13968516185286	KO
-0.990994166418733	2.21871029541491	KO
2.16384186239558	3.55543791458605	KO
3.43707026930171	4.63647066757677	KO
3.26295604200679	0.773897282338124	KO
3.47265161962825	-0.866614468836803	KO
1.3477513978036	-2.43992305591108	KO
-2.06885014085454	-2.14309472634794	KO
1.74585308523494	-0.596483298087139	KO
3.23773421736079	2.49470197365282	KO
3.63945402593928	2.65430962250231	KO
0.471806425765334	-1.54911648526194	KO
4.49984278173762	-0.100723393702526	KO
-1.29981527833623	2.2743436019182	KO
3.99126781912166	2.17225419685839	KO
2.2393039652856	3.02983414337633	KO
-0.0672626605479135	3.99661623642443	KO
-0.538442242726506	2.77761875793932	KO
-0.552046868320377	-0.398750313067455	KO
1.08209599943477	-0.731610365653057	KO
4.48575319738704	1.42496740028856	KO
-1.81409643201512	-1.49075626626017	KO
0.911103148177444	-1.1976226945162	KO
-1.33287314681691	2.11820828125475	KO
-0.981206636711778	3.05037247345446	KO
-5.52732549218816	-8.60263884856703	KO
2.65612019987422	2.5772844474077	KO
3.56931509466487	5.15659605667589	KO
2.19314732046443	-1.29658965065481	KO
1.81062068434077	1.58274971649645	KO
0.638032335952102	1.53724180862902	KO
-4.45247397927922	-3.95600069358351	KO
0.128486532882033	-0.515569277548809	KO
4.93534388037044	2.98048292801378	KO
3.16988410444575	3.22202669785021	KO
4.42616190405208	3.08210980103014	KO
2.35352386923152	1.89672147438524	KO
0.869445938781081	-1.84711519672873	KO
4.29037394018489	4.78767906830309	KO
1.22728158922511	3.25972592041491	KO
2.86647858114558	2.31244956657885	KO
1.86444344015437	2.21327363655565	KO
1.05558802576381	4.71487890884874	KO
1.46407331915217	3.36860214874743	KO
1.7672215888055	5.03266274139879	KO
3.67962278814632	4.36230312988756	KO
1.69887771101314	-0.00250376060010882	KO
1.17400278539973	2.53370057747362	KO
3.11322369070369	0.990019671177845	KO
1.46721472235042	-2.15994722440245	KO
0.915532130912124	-1.61999801590445	KO
-0.849154602572144	-1.37194684378209	KO
1.30036451311427	1.82889544174669	KO
0.85659172029811	-0.811020441794414	KO
3.80969442816096	5.2130597750902	KO
0.555473823264419	2.97344528839586	KO
1.00104107351619	-9.52054036452772	KO
4.05378117056209	2.07732116386889	KO
4.36022819967586	1.94705902740953	KO
3.64945234747249	5.14299379990099	KO
1.22984303922969	-2.03399360969069	KO
2.47248854132014	4.12002646133898	KO
-0.592163223609151	0.51372932598589	KO
-3.6369007637946	-6.17106450393202	KO
2.15462603063899	2.03765284225939	KO
2.40845503301936	0.00144004032609968	KO
-1.23106006889028	2.18213235542772	KO
0.61916484327632	-1.89664048745634	KO
3.51707233877498	-1.03330419256689	KO
3.13257636518794	-0.477108605647106	KO
3.33953442068416	-1.59577133550646	KO
0.919352311805068	2.6607030551195	KO
4.1068188139947	-1.34894110702315	KO
3.07976521940547	0.450787417149525	KO
0.633877296164809	-2.10286898210051	KO
1.17946948499995	1.5668834368944	KO
