UMAP_1	UMAP_2	genotype
1.14848393637314	5.9170499825172	WT
2.1262117071785	8.61047563788219	WT
2.79117733675614	6.89510069128795	WT
1.9360843344368	7.03458414313122	WT
2.65922671991959	6.68050251242443	WT
1.89816528994218	7.59219656225963	WT
2.58624893862382	9.09160242316051	WT
3.16584188181534	6.7691589379005	WT
2.07609612185135	6.50607595679088	WT
2.89615112978593	6.95503244635387	WT
2.33074146944657	8.51777086493297	WT
1.16907674509659	7.46702203985973	WT
1.81821471888199	5.06176052328869	WT
2.96033579546586	8.4297305130653	WT
3.23806268412247	6.42624721762462	WT
1.29188865858689	7.21921549078747	WT
1.70830268103257	4.48353014227672	WT
1.74625784594193	4.69391784903331	WT
3.27654582697526	7.69052992102428	WT
1.78591591555253	8.16505155798717	WT
0.864828769747168	6.04470691916271	WT
2.01911884981766	8.49188146826549	WT
1.65421396929398	3.18400035139843	WT
1.87728316027299	7.63491640326305	WT
2.48386580187455	8.69316396948619	WT
3.41823155123368	5.70754680868908	WT
3.17924052912369	5.18164930578991	WT
0.847432081285864	7.58184108969494	WT
2.1157205744423	9.01080713507457	WT
2.7202320738472	8.27246389624401	WT
1.07124859530106	5.99787674185558	WT
1.91613060671464	6.85860500571056	WT
1.86831504542008	8.49995718237682	WT
3.61088234621659	5.32583437201305	WT
3.26704818445817	5.28090820547863	WT
1.57404715258256	6.47025070425792	WT
1.57373983103409	6.82824573752208	WT
3.18369728762284	7.71086511847301	WT
1.09683460432664	8.39065847632213	WT
1.18333739477769	5.3019581818275	WT
0.991469447199255	7.63754997488781	WT
2.41785842615739	3.49335346457286	WT
3.38500744539872	8.70073805090709	WT
2.4852810545601	4.70035801169201	WT
2.02180868822709	3.19216141936107	WT
4.07267600733414	7.1083866142921	WT
2.53181821543351	8.34663305517955	WT
-3.48919838231429	-8.45185079339222	WT
2.34952837664261	2.96703348395153	WT
3.47348458010331	5.33482036825939	WT
3.0977328463234	6.66389665839	WT
2.4668632193245	7.1774464630775	WT
1.36740225988999	8.22676573035045	WT
1.60475105482712	6.622299292057	WT
3.25449687677994	7.88827429053112	WT
-0.284348386641592	0.954038479297596	WT
1.00147062975541	7.8244305634193	WT
1.7720390005745	6.71595726248546	WT
2.17053896624222	8.13788614508434	WT
1.58902997213975	8.47290525671764	WT
2.19014913279191	4.48934278723522	WT
7.73251373011246	-3.13181676629261	WT
2.68057805735245	8.96137151953502	WT
2.84461051661149	8.56730661627575	WT
2.627221409861	8.09015760657116	WT
4.23275357920304	7.61951742407604	WT
1.72868484694138	6.67227897879406	WT
1.72341579634324	3.10795030829235	WT
3.28494888979569	6.43217478033825	WT
2.43558937746659	8.65740785834118	WT
4.14479285914078	7.98325166937633	WT
3.66014081675187	6.1570082688026	WT
0.862048213068396	5.45622501608654	WT
3.25602704722062	5.09134636160656	WT
3.74495250422135	5.60279569861217	WT
3.13343984324113	4.83635959860607	WT
-0.304621446248144	1.10422787901683	WT
2.25373942095414	6.43567190405651	WT
1.37918621737137	7.77816877600475	WT
0.306170706335455	-5.3548120475121	WT
4.3119719668068	8.10047254797741	WT
3.07208949762955	8.71857748266979	WT
2.57288915354386	7.78985224005504	WT
3.01030499178544	5.0428610825233	WT
3.23838693339005	8.78135214087291	WT
2.17778379160538	5.79259882208629	WT
2.99783426958695	5.09253845450206	WT
3.37936097818986	8.75627050635143	WT
3.55459624964371	7.60443029639049	WT
3.34042484003678	7.40361366507335	WT
2.71914869982377	5.31689796683117	WT
3.21504909235612	8.70368967291637	WT
3.05641466814652	8.45183668371959	WT
1.44149297911301	7.82105169531627	WT
1.84959441858903	7.77586183783336	WT
3.77607733446732	5.28772936102672	WT
-0.413138444837183	0.969211199253041	WT
-0.418018709238619	1.07266602751537	WT
3.85804206568375	5.90841684576793	WT
1.17832011419907	5.24280510184093	WT
2.99017650324479	4.8135605835609	WT
1.56535286146775	3.15525231596752	WT
3.78069621760026	5.04551897284313	WT
3.84345609385148	6.20239887472912	WT
3.54636389452592	8.6695986771278	WT
1.2315424128212	6.4941836380653	WT
3.25883561808243	8.72672376868053	WT
2.40338427263871	8.92965708014293	WT
2.54542381006852	6.31662521597667	WT
1.37151903349534	8.34367571112438	WT
1.08473605353013	6.51711282965465	WT
0.988293473307043	5.55532989737316	WT
-0.676422949250787	4.98859510657116	WT
