gene1	gene2	cellType	quadrant
0	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0.867811400220307	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0	2.07722984610136	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.83867602177912	TCells2	WT_infected
0	1.90393356363268	TCells2	WT_infected
0.478287225941488	0.478287225941488	TCells1	WT_infected
0	0.736954472758848	TCells1	WT_infected
1.40689267362859	0.70692642383661	TCells1	WT_infected
0.821347270352809	1.99711974879727	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.71633991396968	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
1.08571397876351	2.8149552275866	TCells3	WT_infected
0.872203399871944	2.23570311624209	TCells3	WT_infected
0	1.73493054468269	TCells2	WT_infected
0.557353778050926	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	1.07441126367457	TCells3	WT_infected
0.527668185196005	1.88096051515683	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.77904022410006	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0.81432476309581	TCells2	WT_infected
1.00521757510376	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0.906796989681904	1.37441303323314	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	1.38352576173341	TCells3	WT_infected
0	0	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
1.00841410015033	0	TCells1	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0.827241477787004	0	TCells2	WT_infected
0	0.941746202472625	TCells1	WT_infected
0.480371502246815	1.04732764932927	TCells1	WT_infected
0	1.46942158697003	TCells3	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells2	WT_infected
0	1.18279032098446	TCells2	WT_infected
0	0.659438790947835	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	1.88278878073877	TCells2	WT_infected
0	1.68169244347915	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	1.34065785090034	TCells1	WT_infected
1.25868726279144	0	TCells2	WT_infected
0	1.39331016911386	TCells1	WT_infected
0	0.36884961649108	TCells1	WT_infected
0	0.583359010451711	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	NaturalKillerCells	WT_infected
1.01565939771575	0	NaturalKillerCells	WT_infected
0	2.04650706172559	TCells2	WT_infected
0	2.59823692183116	TCells2	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0.522869026746431	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0.929790243630601	1.40314046727367	TCells3	WT_infected
0	0.850664351707425	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells1	WT_infected
0.656209150400978	0.656209150400978	TCells1	WT_infected
0.982603542978622	0	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0.781175984566282	TCells1	WT_infected
1.32553871855808	0	OtherLymphoidCells	WT_infected
0	0	TCells1	WT_infected
0	1.78471105495709	TCells2	WT_infected
0.951297663176021	0	TCells1	WT_infected
0	0	TCells3	WT_infected
0	1.75584809253713	TCells1	WT_infected
0.366661233096058	0	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0.942797301736285	0.942797301736285	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0	TCells2	WT_infected
0	0.964487390369979	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	TCells2	WT_infected
0.912988500242558	1.70024234030123	TCells2	WT_infected
0.777386739990294	2.08625250945725	TCells3	WT_infected
1.2434663412664	0	NaturalKillerCells	WT_infected
0.984699834141373	1.79691692201161	TCells3	WT_infected
0	0	TCells2	WT_infected
0	1.93059636883681	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
1.32425455517965	0.866970625985908	TCells3	WT_infected
0	0	TCells1	WT_infected
0	1.38121593347645	TCells3	WT_infected
0	0	TCells1	WT_infected
0	0	TCells1	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	TCells1	WT_infected
0.834920768487331	1.82753286362176	TCells1	WT_infected
0	2.18402622442244	TCells2	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0	NaturalKillerCells	WT_infected
0	0.470784949717012	TCells2	WT_infected
